Format Version,1.23,Take Name,601_no1,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2023-04-13 07.39.33.825 午征ECapture Start Frame,835242,Total Frames in Take,73413,Total Exported Frames,72923,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
, ,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,,,,,,,,,,,,,,,,,,
,Name,Unlabeled 2255,Unlabeled 2255,Unlabeled 2255,,,,,,,,,,,,,,,,,,
,ID,1E2D05B9E45472311EE,1E2D05B9E45472311EE,1E2D05B9E45472311EE,,,,,,,,,,,,,,,,,,
,,Position,Position,Position,,,,,,,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,,,,,
718,7.18,2.810356,1.780498,3.114412,,,,,,,,,,,,,,,,,,
719,7.19,2.825374,1.77514,3.104239,,,,,,,,,,,,,,,,,,
720,7.2,2.840435,1.769541,3.093705,,,,,,,,,,,,,,,,,,
721,7.21,2.855533,1.763714,3.082804,,,,,,,,,,,,,,,,,,
722,7.22,2.870657,1.757672,3.071529,,,,,,,,,,,,,,,,,,
723,7.23,2.885798,1.75143,3.059874,,,,,,,,,,,,,,,,,,
724,7.24,2.900944,1.745001,3.047829,,,,,,,,,,,,,,,,,,
725,7.25,2.91608,1.738399,3.035386,,,,,,,,,,,,,,,,,,
726,7.26,2.931193,1.731636,3.022536,,,,,,,,,,,,,,,,,,
727,7.27,2.946265,1.724727,3.009269,,,,,,,,,,,,,,,,,,
728,7.28,2.96128,1.717685,2.995575,,,,,,,,,,,,,,,,,,
729,7.29,2.976219,1.710524,2.981446,,,,,,,,,,,,,,,,,,
730,7.3,2.991062,1.703257,2.966871,,,,,,,,,,,,,,,,,,
731,7.31,3.005791,1.695898,2.951842,,,,,,,,,,,,,,,,,,
732,7.32,3.020384,1.688461,2.936349,,,,,,,,,,,,,,,,,,
733,7.33,3.034821,1.68096,2.920384,,,,,,,,,,,,,,,,,,
734,7.34,3.04908,1.673411,2.90394,,,,,,,,,,,,,,,,,,
735,7.35,3.063141,1.665827,2.887009,,,,,,,,,,,,,,,,,,
736,7.36,3.076983,1.658224,2.869585,,,,,,,,,,,,,,,,,,
737,7.37,3.090586,1.650616,2.851663,,,,,,,,,,,,,,,,,,
738,7.38,3.10393,1.643018,2.833237,,,,,,,,,,,,,,,,,,
739,7.39,3.116996,1.635446,2.814304,,,,,,,,,,,,,,,,,,
740,7.4,3.129766,1.627912,2.794863,,,,,,,,,,,,,,,,,,
741,7.41,3.142223,1.620432,2.77491,,,,,,,,,,,,,,,,,,
742,7.42,3.15435,1.613018,2.754447,,,,,,,,,,,,,,,,,,
743,7.43,3.166134,1.605684,2.733474,,,,,,,,,,,,,,,,,,
744,7.44,3.17756,1.598441,2.711994,,,,,,,,,,,,,,,,,,
745,7.45,3.188618,1.591302,2.690011,,,,,,,,,,,,,,,,,,
746,7.46,3.199298,1.584278,2.667531,,,,,,,,,,,,,,,,,,
747,7.47,3.209591,1.57738,2.64456,,,,,,,,,,,,,,,,,,
748,7.48,3.219493,1.570618,2.621107,,,,,,,,,,,,,,,,,,
749,7.49,3.228997,1.564003,2.597181,,,,,,,,,,,,,,,,,,
750,7.5,3.238103,1.557544,2.572794,,,,,,,,,,,,,,,,,,
751,7.51,3.246808,1.55125,2.547957,,,,,,,,,,,,,,,,,,
752,7.52,3.255114,1.545132,2.522685,,,,,,,,,,,,,,,,,,
753,7.53,3.263022,1.539198,2.496991,,,,,,,,,,,,,,,,,,
754,7.54,3.270534,1.533457,2.470891,,,,,,,,,,,,,,,,,,
755,7.55,3.277653,1.527916,2.444402,,,,,,,,,,,,,,,,,,
756,7.56,3.284383,1.522583,2.417541,,,,,,,,,,,,,,,,,,
757,7.57,3.290727,1.517466,2.390324,,,,,,,,,,,,,,,,,,
758,7.58,3.296687,1.512572,2.362771,,,,,,,,,,,,,,,,,,
759,7.59,3.302269,1.507908,2.334901,,,,,,,,,,,,,,,,,,
760,7.6,3.307473,1.503479,2.306731,,,,,,,,,,,,,,,,,,
