Step,Convergence_Value
331,-128899428.8357906
332,-128904337.72091778
333,-128908748.39806062
334,-128913099.93687338
335,-128917342.6661869
336,-128921558.22981729
337,-128925970.1772922
338,-128933058.22782369
339,-128936096.10908271
340,-128938152.39647849
341,-128939336.96882944
342,-128940322.6289843
343,-128941558.19412714
344,-128946883.40296811
345,-128952196.47879325
346,-128955054.83835933
347,-128959912.19682562
348,-128961555.09237532
349,-128966479.95313089
350,-128969907.24488737
351,-128971937.21003059
352,-128974570.86841574
353,-128979020.02103142
354,-128981368.80099116
355,-128983438.83562078
356,-128984530.66973744
357,-128985824.27736403
